rt_key,race_id,snapshot_label,target_datetime,post_datetime,acquired_at,delay_seconds,odds_dataspec,latest_happyo_datetime,source_age_seconds,freshness_limit_seconds,status,rows_saved
202609210609,202606040709,30m,2026-09-21T13:40:00,2026-09-21T14:10:00,2026-09-21T13:40:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210908,202609040708,10m,2026-09-21T13:45:00,2026-09-21T13:55:00,2026-09-21T13:45:02,2.001,0B31,2026-09-21T13:44:00,60.0,180.0,saved,56
202609210908,202609040708,5m,2026-09-21T13:50:00,2026-09-21T13:55:00,2026-09-21T13:50:02,2.0,0B31,2026-09-21T13:49:00,60.0,180.0,saved,56
202609210610,202606040710,60m,2026-09-21T13:50:00,2026-09-21T14:50:00,2026-09-21T13:50:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210908,202609040708,1m,2026-09-21T13:54:00,2026-09-21T13:55:00,2026-09-21T13:54:02,2.001,0B31,2026-09-21T13:53:00,60.0,180.0,saved,56
202609210908,202609040708,10s,2026-09-21T13:54:50,2026-09-21T13:55:00,2026-09-21T13:54:52,2.001,0B31,2026-09-21T13:53:00,110.0,180.0,saved,56
202609210909,202609040709,30m,2026-09-21T13:55:00,2026-09-21T14:25:00,2026-09-21T13:55:02,2.001,0B31,2026-09-21T13:54:00,60.0,900.0,saved,68
202609210609,202606040709,10m,2026-09-21T14:00:00,2026-09-21T14:10:00,2026-09-21T14:00:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210609,202606040709,5m,2026-09-21T14:05:00,2026-09-21T14:10:00,2026-09-21T14:05:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210910,202609040710,60m,2026-09-21T14:05:00,2026-09-21T15:05:00,2026-09-21T14:05:02,2.001,0B31,2026-09-21T14:04:00,60.0,900.0,saved,68
202609210609,202606040709,1m,2026-09-21T14:09:00,2026-09-21T14:10:00,2026-09-21T14:09:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210609,202606040709,10s,2026-09-21T14:09:50,2026-09-21T14:10:00,2026-09-21T14:09:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210909,202609040709,10m,2026-09-21T14:15:00,2026-09-21T14:25:00,2026-09-21T14:15:02,2.001,0B31,2026-09-21T14:14:00,60.0,180.0,saved,68
202609210909,202609040709,5m,2026-09-21T14:20:00,2026-09-21T14:25:00,2026-09-21T14:20:02,2.0,0B31,2026-09-21T14:19:00,60.0,180.0,saved,68
202609210610,202606040710,30m,2026-09-21T14:20:00,2026-09-21T14:50:00,2026-09-21T14:20:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210909,202609040709,1m,2026-09-21T14:24:00,2026-09-21T14:25:00,2026-09-21T14:24:02,2.001,0B31,2026-09-21T14:23:00,60.0,180.0,saved,68
202609210909,202609040709,10s,2026-09-21T14:24:50,2026-09-21T14:25:00,2026-09-21T14:24:52,2.001,0B31,2026-09-21T14:23:00,110.0,180.0,saved,68
202609210611,202606040711,60m,2026-09-21T14:30:00,2026-09-21T15:30:00,2026-09-21T14:30:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210910,202609040710,30m,2026-09-21T14:35:00,2026-09-21T15:05:00,2026-09-21T14:35:02,2.0,0B31,2026-09-21T14:34:00,60.0,900.0,saved,68
202609210610,202606040710,10m,2026-09-21T14:40:00,2026-09-21T14:50:00,2026-09-21T14:40:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210610,202606040710,5m,2026-09-21T14:45:00,2026-09-21T14:50:00,2026-09-21T14:45:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210911,202609040711,60m,2026-09-21T14:45:00,2026-09-21T15:45:00,2026-09-21T14:45:02,2.001,0B31,2026-09-21T14:44:00,60.0,900.0,saved,53
202609210610,202606040710,1m,2026-09-21T14:49:00,2026-09-21T14:50:00,2026-09-21T14:49:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210610,202606040710,10s,2026-09-21T14:49:50,2026-09-21T14:50:00,2026-09-21T14:49:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210910,202609040710,10m,2026-09-21T14:55:00,2026-09-21T15:05:00,2026-09-21T14:55:02,2.001,0B31,2026-09-21T14:54:00,60.0,180.0,saved,68
202609210910,202609040710,5m,2026-09-21T15:00:00,2026-09-21T15:05:00,2026-09-21T15:00:02,2.0,0B31,2026-09-21T14:59:00,60.0,180.0,saved,68
202609210611,202606040711,30m,2026-09-21T15:00:00,2026-09-21T15:30:00,2026-09-21T15:00:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210910,202609040710,1m,2026-09-21T15:04:00,2026-09-21T15:05:00,2026-09-21T15:04:02,2.001,0B31,2026-09-21T15:03:00,60.0,180.0,saved,68
202609210910,202609040710,10s,2026-09-21T15:04:50,2026-09-21T15:05:00,2026-09-21T15:04:52,2.001,0B31,2026-09-21T15:03:00,110.0,180.0,saved,68
202609210612,202606040712,60m,2026-09-21T15:10:00,2026-09-21T16:10:00,2026-09-21T15:10:02,2.001,0B31,,,900.0,jvlink_unavailable,0
202609210911,202609040711,30m,2026-09-21T15:15:00,2026-09-21T15:45:00,2026-09-21T15:15:02,2.001,0B31,2026-09-21T15:14:00,60.0,900.0,saved,53
202609210611,202606040711,10m,2026-09-21T15:20:00,2026-09-21T15:30:00,2026-09-21T15:20:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210611,202606040711,5m,2026-09-21T15:25:00,2026-09-21T15:30:00,2026-09-21T15:25:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210611,202606040711,1m,2026-09-21T15:29:00,2026-09-21T15:30:00,2026-09-21T15:29:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210611,202606040711,10s,2026-09-21T15:29:50,2026-09-21T15:30:00,2026-09-21T15:29:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210912,202609040712,60m,2026-09-21T15:30:00,2026-09-21T16:30:00,2026-09-21T15:30:02,2.001,0B31,2026-09-21T15:29:00,60.0,900.0,saved,65
202609210911,202609040711,10m,2026-09-21T15:35:00,2026-09-21T15:45:00,2026-09-21T15:35:02,2.001,0B31,2026-09-21T15:34:00,60.0,180.0,saved,53
202609210911,202609040711,5m,2026-09-21T15:40:00,2026-09-21T15:45:00,2026-09-21T15:40:02,2.0,0B31,2026-09-21T15:39:00,60.0,180.0,saved,53
202609210612,202606040712,30m,2026-09-21T15:40:00,2026-09-21T16:10:00,2026-09-21T15:40:02,2.0,0B31,,,900.0,jvlink_unavailable,0
202609210911,202609040711,1m,2026-09-21T15:44:00,2026-09-21T15:45:00,2026-09-21T15:44:02,2.001,0B31,2026-09-21T15:43:00,60.0,180.0,saved,53
202609210911,202609040711,10s,2026-09-21T15:44:50,2026-09-21T15:45:00,2026-09-21T15:44:52,2.001,0B31,2026-09-21T15:43:00,110.0,180.0,saved,53
202609210612,202606040712,10m,2026-09-21T16:00:00,2026-09-21T16:10:00,2026-09-21T16:00:02,2.0,0B31,,,180.0,jvlink_unavailable,0
202609210912,202609040712,30m,2026-09-21T16:00:00,2026-09-21T16:30:00,2026-09-21T16:00:02,2.0,0B31,2026-09-21T15:59:00,60.0,900.0,saved,65
202609210612,202606040712,5m,2026-09-21T16:05:00,2026-09-21T16:10:00,2026-09-21T16:05:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210612,202606040712,1m,2026-09-21T16:09:00,2026-09-21T16:10:00,2026-09-21T16:09:02,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210612,202606040712,10s,2026-09-21T16:09:50,2026-09-21T16:10:00,2026-09-21T16:09:52,2.001,0B31,,,180.0,jvlink_unavailable,0
202609210912,202609040712,10m,2026-09-21T16:20:00,2026-09-21T16:30:00,2026-09-21T16:20:02,2.0,0B31,2026-09-21T16:19:00,60.0,180.0,saved,65
202609210912,202609040712,5m,2026-09-21T16:25:00,2026-09-21T16:30:00,2026-09-21T16:25:02,2.001,0B31,2026-09-21T16:24:00,60.0,180.0,saved,65
202609210912,202609040712,1m,2026-09-21T16:29:00,2026-09-21T16:30:00,2026-09-21T16:29:02,2.001,0B31,2026-09-21T16:28:00,60.0,180.0,saved,65
202609210912,202609040712,10s,2026-09-21T16:29:50,2026-09-21T16:30:00,2026-09-21T16:29:52,2.001,0B31,2026-09-21T16:29:00,50.0,180.0,saved,65
